epoch,lr-Adam/non-decayable,lr-Adam/normal,n_learnable_parameters,n_parameters,offset/C,step,test/train/energy_mae,test/train/energy_rmse,test/train/forces_mae,test/train/forces_rmse,test/train/forces_rmse_batchwise,test/train/per_atom_energy_mae,test/train/per_atom_energy_rmse,test/train/stress_mae,test/train/stress_rmse,test/train/virial_mae,test/train/virial_rmse,test/valid/energy_mae,test/valid/energy_rmse,test/valid/forces_mae,test/valid/forces_rmse,test/valid/forces_rmse_batchwise,test/valid/per_atom_energy_mae,test/valid/per_atom_energy_rmse,test/valid/stress_mae,test/valid/stress_rmse,test/valid/virial_mae,test/valid/virial_rmse,timer/its_per_s/train,timer/its_per_s/valid,timer/step_duration_ms/train,timer/step_duration_ms/valid,train/loss/forces_rmse_batchwise_weighted,train/loss/per_atom_energy_rmse_batchwise_weighted,train/loss/total,train/metrics/forces_rmse_batchwise,train/metrics/per_atom_energy_rmse_batchwise,valid/loss/forces_rmse_batchwise_weighted,valid/loss/per_atom_energy_rmse_batchwise_weighted,valid/loss/total,valid/metrics/energy_mae,valid/metrics/energy_rmse,valid/metrics/forces_mae,valid/metrics/forces_rmse,valid/metrics/forces_rmse_batchwise,valid/metrics/per_atom_energy_mae,valid/metrics/per_atom_energy_rmse,valid/metrics/per_atom_energy_rmse_batchwise,valid/metrics/stress_mae,valid/metrics/stress_rmse,valid/metrics/virial_mae,valid/metrics/virial_rmse
,0.0001,0.0001,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099353313446045,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,0.32841429114341736,,3582.0,,,,,,0.6351214051246643,0.0766453742980957,0.7750641703605652,1.964469313621521,2.727445363998413,0.48418837785720825,0.679543673992157,0.6351214051246643,0.05215849727392197,0.07944661378860474,0.0766453742980957,0.018362732604146004,0.03608548641204834,6.211987495422363,12.479193687438965
,0.0001,0.0001,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,0.10778184980154037,,9278.0,,0.7627596855163574,0.07216673344373703,0.834926426410675,0.7627596855163574,0.07216673344373703,,,,,,,,,,,,,,,
,,,,,-7.099562168121338,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,0.31695717573165894,,3260.5,,,,,,0.6335663795471191,0.07229753583669662,0.7690610885620117,1.393860101699829,1.8771170377731323,0.48310068249702454,0.6779542565345764,0.6335663795471191,0.04818163067102432,0.07738225907087326,0.07229753583669662,0.018492836505174637,0.036274254322052,6.31364107131958,12.687535285949707
,0.0001,0.0001,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.09958028793335,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,0.2993967533111572,,3461.0,,,,,,0.6312743425369263,0.07114414125680923,0.7653813362121582,1.2717416286468506,1.7579680681228638,0.48144015669822693,0.6754938364028931,0.6312743425369263,0.04629087448120117,0.07633427530527115,0.07114414125680923,0.01815539039671421,0.03546689450740814,6.205042362213135,12.332038879394531
,0.0001,0.0001,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099508285522461,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,219,,,,,,,,,,,,,,,,,,,,,,,,0.35574033856391907,,3032.5,,,,,,0.6281259059906006,0.07415904104709625,0.7651314735412598,1.5719407796859741,2.2284505367279053,0.47901174426078796,0.6723938584327698,0.6281259059906006,0.04636402055621147,0.07774992287158966,0.07415904104709625,0.017550643533468246,0.03419635817408562,5.928177833557129,11.700762748718262
,0.0001,0.0001,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099592685699463,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,0.3232179880142212,,3612.0,,,,,,0.627596914768219,0.07024625688791275,0.760293185710907,1.170347809791565,1.79567551612854,0.4785849153995514,0.6713605523109436,0.627596914768219,0.04342208057641983,0.07502034306526184,0.07024625688791275,0.017642050981521606,0.03427376598119736,6.01580286026001,11.886605262756348
,0.0001,0.0001,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099593639373779,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,0.30782943964004517,,3349.0,,,,,,0.6258645057678223,0.07025749981403351,0.7585166692733765,1.1851133108139038,1.8870521783828735,0.4770709276199341,0.6696662306785583,0.6258645057678223,0.04305572435259819,0.07446616142988205,0.07025749981403351,0.017412176355719566,0.03370066359639168,5.938948631286621,11.688737869262695
,0.0001,0.0001,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,0.13248541951179504,,7548.0,,0.7256536483764648,0.017040789127349854,0.7426944375038147,0.7256536483764648,0.017040789127349854,,,,,,,,,,,,,,,
