time,n_atoms,n_bonds,sp1,sp2,sp3,undercoord,overcoord,sp2_fraction,sp3_fraction,avg_coordination,avg_bond_length_A
5300,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5335569180898523
5350,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5392264415935883
5400,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5344344223101567
5450,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5379114761621882
5500,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5335698235972888
5550,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.533040780292874
5600,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.520703471718116
5650,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.532920658749848
5700,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5407818300147396
5750,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.539361802763514
5800,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5277224593148995
5850,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5313352648818526
5900,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5405647516603487
5950,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5448836159709398
6000,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.535013146677343
6050,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5400238983873933
6100,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5402318139115567
6150,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5412589704769486
6200,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.528258976352237
6250,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.540906016316621
6300,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5427025673879766
6350,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5381192397673968
6400,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.538295337185415
6450,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5395934152163289
6500,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5443757171331243
6550,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5428661824534131
6600,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.541984359126494
6650,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5364115168418349
6700,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.523937291269787
6750,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5208136608900473
6800,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5234746351535517
6850,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.537070003292258
6900,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5400768515539731
6950,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5247610684343718
7000,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5335367549163161
7050,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5286474981825025
7100,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5401201073053303
7150,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5450320283047123
7200,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5417617116853028
7250,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5457834290830976
7300,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5339068243160168
7350,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5351337280586246
7400,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.545505041141166
7450,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.546633481008765
7500,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5475680608601625
7550,27,53,0,3,23,0,1,0.1111111111111111,0.8518518518518519,3.925925925925926,1.538867543346963
7600,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.54057324925229
7650,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5305145686329347
7700,27,53,0,3,23,0,1,0.1111111111111111,0.8518518518518519,3.925925925925926,1.547449172151991
7750,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5407662836808174
7800,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5519635847416815
7850,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5340441235776865
7900,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5390870823586178
7950,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.532135287388713
8000,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5519541929761274
8050,27,54,0,2,23,0,2,0.07407407407407407,0.8518518518518519,4.0,1.552174947517267
8100,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5348145752769229
8150,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5352016247963778
8200,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.547582771562823
8250,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5183736133724666
8300,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5357092489221082
8350,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5404141278081491
8400,27,53,0,4,21,0,2,0.14814814814814814,0.7777777777777778,3.925925925925926,1.5422680828090183
8450,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5506985440542513
8500,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.53182546819239
8550,27,53,0,3,23,0,1,0.1111111111111111,0.8518518518518519,3.925925925925926,1.5453237127920854
8600,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5365880847137645
8650,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5380511622323239
8700,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5531556450365247
8750,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5336308352642833
8800,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5315107336931748
8850,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.53515025182974
8900,27,54,0,1,25,0,1,0.037037037037037035,0.9259259259259259,4.0,1.5565176778364769
8950,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5500434130219287
9000,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5481282100605969
9050,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5311654680632893
9100,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5366897296710549
9150,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5456876542838065
9200,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5375106549602209
9250,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5395783360559934
9300,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5339168814795852
9350,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5298154965808979
9400,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5367467168379108
9450,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5428846556121931
9500,27,51,0,7,19,0,1,0.25925925925925924,0.7037037037037037,3.7777777777777777,1.5200536523377468
9550,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5422804689559568
9600,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5489573133072319
9650,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5424774319566608
9700,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5287380063328844
9750,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5379838762979825
9800,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5418834307553508
9850,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5306935971532158
9900,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.536270454729644
